"Consensus_bnumber"	"Consensus_symbol"	"Consensus_start"	"Consensus_stop"	"Consensus_strand"	"Consensus_TF"	"RegulonDB_gene_id"	"RegulonDB_symbol"	"RegulonDB_bnumber"	"RegulonDB_start"	"RegulonDB_stop"	"RegulonDB_strand"	"RegulonDB_type"	"RegulonDB_product_id"	"RegulonDB_product_name"	"RegulonDB_product_type"	"gene_synonyms"	"product_synonyms"	"RegulonDB_TF"	"Zika_gene_id"	"Zika_symbol"	"Zika_bnumber"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"test_start"	"test_stop"	"test_strand"
"b1481"	"bdm"	"1556065"	"1556280"	"-"	"0"	"ECK120003365"	"bdm"	"b1481"	"1556065"	"1556280"	"-"	NA	"ECK120007821"	"biofilm-dependent modulation protein"	NA	"b1481,ECK1475,G6776,yddX,bdm,ECK120003365"	"Bdm,f92,YddX,ECK120007821"	"0"	"1575"	"bdm"	"b1481"	NA	"biofilm-dependent modulation protein"	"1556065"	"1556280"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1151"	"beeE"	"1205731"	"1206204"	"+"	"0"	"ECK120003190"	"beeE"	"b1151"	"1205731"	"1206204"	"+"	NA	"ECK120007649"	"e14 prophage; protein BeeE"	NA	"b1151,ECK1137,G6595,ymfO,beeE,ECK120003190"	"BeeE,YmfO,ECK120007649"	"0"	"4146"	"beeE"	"b1151"	NA	"e14 prophage; putative protein BeeE"	"1205731"	"1206204"	"+"	"CDS"	NA	"1"	"1"	"1"
"b2494"	"bepA"	"2616094"	"2617557"	"+"	"0"	"ECK120003883"	"bepA"	"b2494"	"2616094"	"2617557"	"+"	NA	"ECK120008331"	"&beta;-barrel assembly-enhancing protease"	NA	"b2494,ECK2490,G7311,yfgC,bepA,ECK120003883"	"BepA,YfgC,ECK120008331"	"0"	"2460"	"bepA"	"b2494"	NA	"beta-barrel assembly-enhancing protease"	"2616094"	"2617557"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0311"	"betA"	"325577"	"327247"	"-"	"0"	"ECK120000105"	"betA"	"b0311"	"325577"	"327247"	"-"	NA	"ECK120004581"	"choline dehydrogenase"	NA	"b0311,ECK0309,EG10109,betA,ECK120000105"	"BetA,ECK120004581"	"0"	"568"	"betA"	"b0311"	NA	"choline dehydrogenase"	"325577"	"327247"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0312"	"betB"	"327261"	"328733"	"-"	"0"	"ECK120000106"	"betB"	"b0312"	"327261"	"328733"	"-"	NA	"ECK120004582"	"betaine aldehyde dehydrogenase"	NA	"b0312,ECK0310,EG10110,betB,ECK120000106"	"BetB,ECK120004582"	"0"	"569"	"betB"	"b0312"	NA	"betaine aldehyde dehydrogenase"	"327261"	"328733"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0313"	"betI"	"328747"	"329334"	"-"	"2"	"ECK120000107"	"betI"	"b0313"	"328747"	"329334"	"-"	NA	"ECK120004583"	"DNA-binding transcriptional repressor BetI"	NA	"b0313,ECK0311,EG10111,betI,ECK120000107"	"BetI,ECK120004583"	"1"	"22"	"betI"	"b0313"	"non-essential"	"DNA-binding transcriptional repressor BetI"	"328747"	"329334"	"-"	"CDS"	"1"	"1"	"1"	"1"
"b0314"	"betT"	"329463"	"331496"	"+"	"0"	"ECK120000108"	"betT"	"b0314"	"329463"	"331496"	"+"	NA	"ECK120004584"	"choline:H<sup>+</sup> symporter"	NA	"b0314,ECK0312,EG10112,betT,ECK120000108"	"BetT,ECK120004584"	"0"	"570"	"betT"	"b0314"	NA	"choline:H(+) symporter"	"329463"	"331496"	"+"	"CDS"	NA	"1"	"1"	"1"
"b3337"	"bfd"	"3466797"	"3466991"	"-"	"0"	"ECK120001163"	"bfd"	"b3337"	"3466797"	"3466991"	"-"	NA	"ECK120005639"	"bacterioferritin-associated ferredoxin"	NA	"b3337,ECK3324,EG11181,yheA,bfd,ECK120001163"	"Bfd,YheA,ECK120005639"	"0"	"3168"	"bfd"	"b3337"	NA	"bacterioferritin-associated ferredoxin"	"3466797"	"3466991"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3336"	"bfr"	"3466249"	"3466725"	"-"	"0"	"ECK120000109"	"bfr"	"b3336"	"3466249"	"3466725"	"-"	NA	"ECK120004585"	"bacterioferritin"	NA	"b3336,ECK3323,EG10113,bfr,ECK120000109"	"Bfr,cytochrome b1,ECK120004585"	"0"	"3167"	"bfr"	"b3336"	NA	"bacterioferritin"	"3466249"	"3466725"	"-"	"CDS"	NA	"1"	"1"	"1"
"b2901"	"bglA"	"3043662"	"3045101"	"+"	"0"	"ECK120002697"	"bglA"	"b2901"	"3043662"	"3045101"	"+"	NA	"ECK120007171"	"6-phospho-&beta;-glucosidase A"	NA	"b2901,bglD,ECK2896,G495,yqfC,bglA,ECK120002697"	"BglA,BglD,YqfC,ECK120007171"	"0"	"2794"	"bglA"	"b2901"	NA	"6-phospho-beta-glucosidase A"	"3043662"	"3045101"	"+"	"CDS"	NA	"1"	"1"	"1"
"b3721"	"bglB"	"3902289"	"3903701"	"-"	"0"	"ECK120000110"	"bglB"	"b3721"	"3902289"	"3903701"	"-"	NA	"ECK120004586"	"6-phospho-&beta;-glucosidase B"	NA	"b3721,blgA,ECK3714,EG10114,bglB,ECK120000110"	"6-phospho-&beta;-glucosidase B, cryptic,6-phospho-b-D-glucosyl-(1,4)-D-glucose glucohydrolase,6-phospho-b-glucosidase,BglB,BlgA,phospho-&beta;-glucosidase B,phospho-b-glucosidase,phosphocellobiase,ECK120004586"	"0"	"3510"	"bglB"	"b3721"	NA	"6-phospho-beta-glucosidase B"	"3902289"	"3903701"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3722"	"bglF"	"3903720"	"3905597"	"-"	"0"	"ECK120000111"	"bglF"	"b3722"	"3903720"	"3905597"	"-"	NA	"ECK120004587"	"&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase"	NA	"b3722,bglS,ECK3715,EG10115,bglF,ECK120000111"	"BglF,BglS,ECK120004587"	"0"	"3511"	"bglF"	"b3722"	NA	"beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase"	"3903720"	"3905597"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3723"	"bglG"	"3905731"	"3906567"	"-"	"0"	"ECK120000112"	"bglG"	"b3723"	"3905731"	"3906567"	"-"	NA	"ECK120004588"	"transcriptional antiterminator BglG"	NA	"b3723,bglC,ECK3716,EG10116,bglG,ECK120000112"	"BglC,BglG,ECK120004588"	"0"	"3512"	"bglG"	"b3723"	NA	"transcriptional antiterminator BglG"	"3905731"	"3906567"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3720"	"bglH"	"3900604"	"3902220"	"-"	"0"	"ECK120001333"	"bglH"	"b3720"	"3900604"	"3902220"	"-"	NA	"ECK120005809"	"carbohydrate-specific outer membrane porin, cryptic"	NA	"b3720,ECK3713,EG11364,yieC,bglH,ECK120001333"	"BglH,YieC,ECK120005809"	"0"	"3509"	"bglH"	"b3720"	NA	"carbohydrate-specific outer membrane porin, cryptic"	"3900604"	"3902220"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4366"	"bglJ"	"4604160"	"4604837"	"+"	"2"	"ECK120004441"	"bglJ"	"b4366"	"4604160"	"4604837"	"+"	NA	"ECK120008877"	"DNA-binding transcriptional regulator BglJ"	NA	"b4366,ECK4356,G7948,yjjR,bglJ,ECK120004441"	"BglJ,YjjR,ECK120008877"	"1"	"23"	"bglJ"	"b4366"	"non-essential"	"DNA-binding transcriptional regulator BglJ"	"4604160"	"4604837"	"+"	"CDS"	"1"	"1"	"1"	"1"
"b2132"	"bglX"	"2219692"	"2221989"	"-"	"0"	"ECK120001932"	"bglX"	"b2132"	"2219692"	"2221989"	"-"	NA	"ECK120006408"	"&beta;-D-glucoside glucohydrolase, periplasmic"	NA	"b2132,ECK2125,EG12013,glh,yohA,bglX,ECK120001932"	"BglX,Glh,YohA,ECK120006408"	"0"	"2133"	"bglX"	"b2132"	NA	"beta-D-glucoside glucohydrolase, periplasmic"	"2219692"	"2221989"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1112"	"bhsA"	"1169073"	"1169330"	"+"	"0"	"ECK120003166"	"bhsA"	"b1112"	"1169073"	"1169330"	"+"	NA	"ECK120007625"	"DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA"	NA	"b1112,comC,ECK1098,G6570,ycfR,bhsA,ECK120003166"	"BhsA,ComC,outer membrane protein involved in copper permeability, stress resistance and biofilm formation,YcfR,ECK120007625"	"0"	"1257"	"bhsA"	"b1112"	NA	"DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA"	"1169073"	"1169330"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0774"	"bioA"	"807968"	"809257"	"-"	"0"	"ECK120000113"	"bioA"	"b0774"	"807968"	"809257"	"-"	NA	"ECK120004589"	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	NA	"b0774,ECK0763,EG10117,bioA,ECK120000113"	"BioA,ECK120004589"	"0"	"947"	"bioA"	"b0774"	NA	"adenosylmethionine-8-amino-7-oxononanoate aminotransferase"	"807968"	"809257"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0775"	"bioB"	"809344"	"810384"	"+"	"0"	"ECK120000114"	"bioB"	"b0775"	"809344"	"810384"	"+"	NA	"ECK120004590"	"biotin synthase"	NA	"b0775,ECK0764,EG10118,bioB,ECK120000114"	"BioB,ECK120004590"	"0"	"948"	"bioB"	"b0775"	NA	"biotin synthase"	"809344"	"810384"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0777"	"bioC"	"811522"	"812277"	"+"	"0"	"ECK120000115"	"bioC"	"b0777"	"811522"	"812277"	"+"	NA	"ECK120004591"	"malonyl-acyl carrier protein methyltransferase"	NA	"b0777,ECK0766,EG10119,bioC,ECK120000115"	"BioC,malonyl-[acp] methyltransferase,ECK120004591"	"0"	"950"	"bioC"	"b0777"	NA	"malonyl-acyl carrier protein methyltransferase"	"811522"	"812277"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0778"	"bioD"	"812270"	"812947"	"+"	"0"	"ECK120000116"	"bioD"	"b0778"	"812270"	"812947"	"+"	NA	"ECK120004592"	"dethiobiotin synthetase"	NA	"b0778,ECK0767,EG10120,bioD,ECK120000116"	"BioD,ECK120004592"	"0"	"951"	"bioD"	"b0778"	NA	"dethiobiotin synthetase"	"812270"	"812947"	"+"	"CDS"	NA	"1"	"1"	"1"
"b0776"	"bioF"	"810381"	"811535"	"+"	"0"	"ECK120000117"	"bioF"	"b0776"	"810381"	"811535"	"+"	NA	"ECK120004593"	"8-amino-7-oxononanoate synthase"	NA	"b0776,ECK0765,EG10121,bioF,ECK120000117"	"BioF,ECK120004593"	"0"	"949"	"bioF"	"b0776"	NA	"8-amino-7-oxononanoate synthase"	"810381"	"811535"	"+"	"CDS"	NA	"1"	"1"	"1"
"b3412"	"bioH"	"3544074"	"3544844"	"-"	"0"	"ECK120000118"	"bioH"	"b3412"	"3544074"	"3544844"	"-"	NA	"ECK120004594"	"pimeloyl-acyl carrier protein methyl ester esterase"	NA	"b3412,bioB,ECK3399,EG10122,bioH,ECK120000118"	"BioB,BioH,pimeloyl-[acp] methyl ester esterase,ECK120004594"	"0"	"3239"	"bioH"	"b3412"	NA	"pimeloyl-acyl carrier protein methyl ester esterase"	"3544074"	"3544844"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3827"	"bioP"	"4011076"	"4011975"	"+"	"0"	"ECK120001433"	"bioP"	"b3827"	"4011076"	"4011975"	"+"	NA	"ECK120005909"	"biotin transporter"	NA	"b3827,ECK3821,EG11471,yigM,bioP,ECK120001433"	"BioP,BirB,YigM,ECK120005909"	"0"	"3596"	"yigM"	"b3827"	NA	"biotin transporter"	"4011076"	"4011975"	"+"	"CDS"	NA	"1"	"1"	"1"
"b3871"	"bipA"	"4058407"	"4060230"	"+"	"0"	"ECK120001768"	"bipA"	"b3871"	"4058407"	"4060230"	"+"	NA	"ECK120006244"	"50S ribosomal subunit assembly factor BipA"	NA	"b3871,ECK3864,EG11837,typA,yihK,bipA,ECK120001768"	"BipA,ribosome-dependent GTPase, ribosome assembly factor,TypA,YihK,ECK120006244"	"0"	"3629"	"typA"	"b3871"	NA	"ribosome-dependent GTPase, ribosome assembly factor"	"4058407"	"4060230"	"+"	"CDS"	NA	"1"	"1"	"1"
"b3973"	"birA"	"4173082"	"4174047"	"+"	"2"	"ECK120000119"	"birA"	"b3973"	"4173082"	"4174047"	"+"	NA	"ECK120004595"	"DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA"	NA	"b3973,bioR,dhbB,ECK3965,EG10123,birA,ECK120000119"	"BioR,biotin-[acetylCoA carboxylase] holoenzyme synthetase and biotin operon repressor,BirA,DhbB,ECK120004595"	"1"	"24"	"birA"	"b3973"	"essential"	"DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA"	"4173082"	"4174047"	"+"	"CDS"	"1"	"1"	"1"	"1"
"b3551"	"bisC"	"3714061"	"3716394"	"-"	"0"	"ECK120000120"	"bisC"	"b3551"	"3714061"	"3716394"	"-"	NA	"ECK120004596"	"biotin sulfoxide reductase"	NA	"b3551,ECK3538,EG10124,bisC,ECK120000120"	"BisC,ECK120004596"	"0"	"3355"	"bisC"	"b3551"	NA	"biotin sulfoxide reductase"	"3714061"	"3716394"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4149"	"blc"	"4377189"	"4377722"	"-"	"0"	"ECK120004333"	"blc"	"b4149"	"4377189"	"4377722"	"-"	NA	"ECK120008772"	"outer membrane lipoprotein Blc"	NA	"b4149,ECK4145,G7837,yjeL,blc,ECK120004333"	"Blc,outer membrane lipoprotein (lipocalin),YjeL,ECK120008772"	"0"	"3867"	"blc"	"b4149"	NA	"outer membrane lipoprotein Blc"	"4377189"	"4377722"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4409"	"blr"	"1704551"	"1704676"	"+"	"0"	"ECK120002650"	"blr"	"b4409"	"1704551"	"1704676"	"+"	NA	"ECK120007124"	"&beta;-lactam resistance protein"	NA	"b4409,ECK1620,G0-9561,blr,ECK120002650"	"Blr,ECK120007124"	"0"	"1691"	"blr"	"b4409"	NA	"beta-lactam resistance protein"	"1704551"	"1704676"	"+"	"CDS"	NA	"1"	"1"	"1"
"b1163"	"bluF"	"1214264"	"1215475"	"-"	"0"	"ECK120003198"	"bluF"	"b1163"	"1214264"	"1215475"	"-"	NA	"ECK120007657"	"blue light- and temperature-regulated antirepressor BluF"	NA	"b1163,ECK1150,G6603,ycgF,bluF,ECK120003198"	"Blrp,blue light-responsive regulator of BluR,BluF,YcgF,ECK120007657"	"0"	"1300"	"bluF"	"b1163"	NA	"blue light-responsive regulator of BluR"	"1214264"	"1215475"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1162"	"bluR"	"1213328"	"1214059"	"-"	"2"	"ECK120003197"	"bluR"	"b1162"	"1213328"	"1214059"	"-"	NA	"ECK120007656"	"DNA-binding transcriptional repressor BluR"	NA	"b1162,ECK1149,G6602,ycgE,bluR,ECK120003197"	"BluR,YcgE,ECK120007656"	"1"	"234"	"ycgE"	"b1162"	"non-essential"	"DNA-binding transcriptional repressor BluR"	"1213328"	"1214059"	"-"	"CDS"	"1"	"1"	"1"	"1"
"b0435"	"bolA"	"454472"	"454789"	"+"	"2"	"ECK120000121"	"bolA"	"b0435"	"454472"	"454789"	"+"	NA	"ECK120004597"	"DNA-binding transcriptional dual regulator BolA"	NA	"b0435,ECK0429,EG10125,bolA,ECK120000121"	"BolA,ECK120004597"	"1"	"25"	"bolA"	"b0435"	"non-essential"	"DNA-binding transcriptional dual regulator BolA"	"454472"	"454789"	"+"	"CDS"	"1"	"1"	"1"	"1"
"b0557"	"borD"	"578600"	"578893"	"-"	"0"	"ECK120002920"	"borD"	"b0557"	"578600"	"578893"	"-"	NA	"ECK120007387"	"DLP12 prophage; prophage lipoprotein BorD"	NA	"b0557,bor,ECK0549,G6312,iss,vboR,ybcU,borD,ECK120002920"	"Bor,BorD,Iss,lipoprotein <i>bor</i> homolog from lambdoid prophage DLP12,VboR,YbcU,ECK120007387"	"0"	"771"	"borD"	"b0557"	NA	"DLP12 prophage; prophage lipoprotein BorD"	"578600"	"578893"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0401"	"brnQ"	"419591"	"420910"	"+"	"0"	"ECK120002064"	"brnQ"	"b0401"	"419591"	"420910"	"+"	NA	"ECK120006540"	"branched chain amino acid transporter BrnQ"	NA	"b0401,ECK0395,EG12168,hrbA,brnQ,ECK120002064"	"BrnQ,BrnQ branched chain amino acid LIVCS transporter,HrbA,LIV-II,ECK120006540"	"0"	"638"	"brnQ"	"b0401"	NA	"branched chain amino acid transporter BrnQ"	"419591"	"420910"	"+"	"CDS"	NA	"1"	"1"	"1"
"b4189"	"bsmA"	"4416441"	"4416770"	"-"	"0"	"ECK120004348"	"bsmA"	"b4189"	"4416441"	"4416770"	"-"	NA	"ECK120008787"	"DUF1471 domain-containing putative lipoprotein BsmA"	NA	"b4189,ECK4185,G7852,yjfO,bsmA,ECK120004348"	"BsmA,YjfO,ECK120008787"	"0"	"3902"	"bsmA"	"b4189"	NA	"DUF1471 domain-containing putative lipoprotein BsmA"	"4416441"	"4416770"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0836"	"bssR"	"878248"	"878631"	"+"	"0"	"ECK120003036"	"bssR"	"b0836"	"878248"	"878631"	"+"	NA	"ECK120007497"	"regulator of biofilm formation"	NA	"b0836,ECK0826,G6436,yliH,bssR,ECK120003036"	"BssR,YliH,ECK120007497"	"0"	"1006"	"bssR"	"b0836"	NA	"regulator of biofilm formation"	"878248"	"878631"	"+"	"CDS"	NA	"1"	"1"	"1"
"b1060"	"bssS"	"1120701"	"1120955"	"-"	"0"	"ECK120003153"	"bssS"	"b1060"	"1120701"	"1120955"	"-"	NA	"ECK120007612"	"regulator of biofilm formation"	NA	"b1060,ECK1045,G6557,yceP,bssS,ECK120003153"	"BssS,YceP,ECK120007612"	"0"	"1206"	"bssS"	"b1060"	NA	"regulator of biofilm formation"	"1120701"	"1120955"	"-"	"CDS"	NA	"1"	"1"	"1"
"b2125"	"btsR"	"2212243"	"2212962"	"-"	"2"	"ECK120001925"	"btsR"	"b2125"	"2212243"	"2212962"	"-"	NA	"ECK120006401"	"DNA-binding transcriptional dual regulator BtsR"	NA	"b2125,ECK2117,EG12006,yehT,btsR,ECK120001925"	"BtsR,YehT,ECK120006401"	"1"	"254"	"yehT"	"b2125"	"non-essential"	"DNA-binding transcriptional activator BtsR"	"2212243"	"2212962"	"-"	"CDS"	"1"	"1"	"1"	"1"
"b2126"	"btsS"	"2212959"	"2214644"	"-"	"0"	"ECK120001926"	"btsS"	"b2126"	"2212959"	"2214644"	"-"	NA	"ECK120006402"	"high-affinity pyruvate receptor"	NA	"b2126,ECK2118,EG12007,yehU,btsS,ECK120001926"	"BtsS,YehU,ECK120006402"	"0"	"2127"	"yehU"	"b2126"	NA	"high-affinity pyruvate receptor"	"2212959"	"2214644"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4354"	"btsT"	"4589129"	"4591279"	"-"	"0"	"ECK120004436"	"btsT"	"b4354"	"4589129"	"4591279"	"-"	NA	"ECK120008872"	"pyruvate:H<sup>+</sup> symporter"	NA	"b4354,ECK4344,G7942,yjiY,btsT,ECK120004436"	"BtsT,YjiY,ECK120008872"	"0"	"4032"	"yjiY"	"b4354"	NA	"pyruvate:H(+) symporter"	"4589129"	"4591279"	"-"	"CDS"	NA	"1"	"1"	"1"
"b3966"	"btuB"	"4163639"	"4165483"	"+"	"0"	"ECK120000122"	"btuB"	"b3966"	"4163639"	"4165483"	"+"	NA	"ECK120004598"	"cobalamin outer membrane transporter"	NA	"b3966,bfe,cer,ECK3958,EG10126,btuB,ECK120000122"	"Bfe,BtuB,Cer,Vitamin B12 outer membrane transporter,ECK120004598"	"0"	"3711"	"btuB"	"b3966"	NA	"cobalamin/cobinamide outer membrane transporter"	"4163639"	"4165483"	"+"	"CDS"	NA	"1"	"1"	"1"
"b1711"	"btuC"	"1794172"	"1795152"	"-"	"0"	"ECK120000123"	"btuC"	"b1711"	"1794172"	"1795152"	"-"	NA	"ECK120004599"	"vitamin B<sub>12</sub> ABC transporter membrane subunit"	NA	"b1711,ECK1709,EG10127,btuC,ECK120000123"	"BtuC,ECK120004599"	"0"	"1770"	"btuC"	"b1711"	NA	"vitamin B12 ABC transporter membrane subunit"	"1794172"	"1795152"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1709"	"btuD"	"1792809"	"1793558"	"-"	"0"	"ECK120000124"	"btuD"	"b1709"	"1792809"	"1793558"	"-"	NA	"ECK120004600"	"vitamin B<sub>12</sub> ABC transporter ATP binding subunit"	NA	"b1709,ECK1707,EG10128,btuD,ECK120000124"	"BtuD,ECK120004600"	"0"	"1768"	"btuD"	"b1709"	NA	"vitamin B12 ABC transporter ATP binding subunit"	"1792809"	"1793558"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1710"	"btuE"	"1793558"	"1794109"	"-"	"0"	"ECK120000125"	"btuE"	"b1710"	"1793558"	"1794109"	"-"	NA	"ECK120004601"	"thioredoxin/glutathione peroxidase"	NA	"b1710,ECK1708,EG10129,btuE,ECK120000125"	"BtuE,ECK120004601"	"0"	"1769"	"btuE"	"b1710"	NA	"thioredoxin/glutathione peroxidase"	"1793558"	"1794109"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0158"	"btuF"	"177662"	"178462"	"-"	"0"	"ECK120002209"	"btuF"	"b0158"	"177662"	"178462"	"-"	NA	"ECK120006684"	"vitamin B<sub>12</sub> ABC transporter periplasmic binding protein"	NA	"b0158,ECK0157,EG12334,yadT,btuF,ECK120002209"	"BtuF,YadT,ECK120006684"	"0"	"448"	"btuF"	"b0158"	NA	"vitamin B12 ABC transporter periplasmic binding protein"	"177662"	"178462"	"-"	"CDS"	NA	"1"	"1"	"1"
"b1270"	"btuR"	"1327767"	"1328357"	"-"	"0"	"ECK120000126"	"btuR"	"b1270"	"1327767"	"1328357"	"-"	NA	"ECK120004602"	"cobinamide/cobalamin adenosyltransferase"	NA	"b1270,cobA,ECK1264,EG10130,btuR,ECK120000126"	"BtuR,CobA,ECK120004602"	"0"	"1400"	"btuR"	"b1270"	NA	"cobinamide/cobalamin adenosyltransferase"	"1327767"	"1328357"	"-"	"CDS"	NA	"1"	"1"	"1"
"ECK120002607"	"C0067"	"238462"	"238586"	"+"	"0"	"ECK120002607"	"C0067"	NA	"238462"	"238586"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8896,NA,C0067,ECK120002607"	"ECK120002607,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002608"	"C0293"	"1196714"	"1196786"	"+"	"0"	"ECK120002608"	"C0293"	NA	"1196714"	"1196786"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8897,NA,C0293,ECK120002608"	"ECK120002608,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002609"	"C0299"	"1230629"	"1230707"	"+"	"0"	"ECK120002609"	"C0299"	NA	"1230629"	"1230707"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8898,NA,C0299,ECK120002609"	"ECK120002609,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002613"	"C0362"	"1552001"	"1552386"	"+"	"0"	"ECK120002613"	"C0362"	NA	"1552001"	"1552386"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8902,NA,C0362,ECK120002613"	"ECK120002613,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002614"	"C0465"	"1972739"	"1972816"	"+"	"0"	"ECK120002614"	"C0465"	NA	"1972739"	"1972816"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8903,NA,C0465,ECK120002614"	"ECK120002614,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002618"	"C0614"	"2653452"	"2653538"	"-"	"0"	"ECK120002618"	"C0614"	NA	"2653452"	"2653538"	"-"	"Phantom Gene"	NA	NA	NA	"G0-8907,NA,C0614,ECK120002618"	"ECK120002618,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002621"	"C0664"	"2835055"	"2835167"	"+"	"0"	"ECK120002621"	"C0664"	NA	"2835055"	"2835167"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8911,NA,C0664,ECK120002621"	"ECK120002621,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ECK120002622"	"C0719"	"3121358"	"3121579"	"+"	"0"	"ECK120002622"	"C0719"	NA	"3121358"	"3121579"	"+"	"Phantom Gene"	NA	NA	NA	"G0-8912,NA,C0719,ECK120002622"	"ECK120002622,NA"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"b4131"	"cadA"	"4356470"	"4358617"	"-"	"0"	"ECK120000127"	"cadA"	"b4131"	"4356470"	"4358617"	"-"	NA	"ECK120004603"	"lysine decarboxylase 1"	NA	"b4131,ECK4125,EG10131,ldcI,cadA,ECK120000127"	"CadA,LdcI,ECK120004603"	"0"	"3850"	"cadA"	"b4131"	NA	"lysine decarboxylase 1"	"4356470"	"4358617"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4132"	"cadB"	"4358697"	"4360031"	"-"	"0"	"ECK120000128"	"cadB"	"b4132"	"4358697"	"4360031"	"-"	NA	"ECK120004604"	"lysine:cadaverine antiporter"	NA	"b4132,ECK4126,EG10132,cadB,ECK120000128"	"CadB,ECK120004604"	"0"	"3851"	"cadB"	"b4132"	NA	"lysine:cadaverine antiporter"	"4358697"	"4360031"	"-"	"CDS"	NA	"1"	"1"	"1"
"b4133"	"cadC"	"4360396"	"4361934"	"-"	"2"	"ECK120000129"	"cadC"	"b4133"	"4360396"	"4361934"	"-"	NA	"ECK120004605"	"DNA-binding transcriptional activator CadC"	NA	"b4133,ECK4127,EG10133,cadC,ECK120000129"	"CadC,ECK120004605"	"1"	"26"	"cadC"	"b4133"	"non-essential"	"DNA-binding transcriptional activator CadC"	"4360396"	"4361934"	"-"	"CDS"	"1"	"1"	"1"	"1"
"b0039"	"caiA"	"39244"	"40386"	"-"	"0"	"ECK120001513"	"caiA"	"b0039"	"39244"	"40386"	"-"	NA	"ECK120005989"	"crotonobetainyl-CoA reductase"	NA	"b0039,ECK0040,EG11560,yaaO,caiA,ECK120001513"	"CaiA,YaaO,ECK120005989"	"0"	"339"	"caiA"	"b0039"	NA	"crotonobetainyl-CoA reductase"	"39244"	"40386"	"-"	"CDS"	NA	"1"	"1"	"1"
"b0038"	"caiB"	"37898"	"39115"	"-"	"0"	"ECK120001512"	"caiB"	"b0038"	"37898"	"39115"	"-"	NA	"ECK120005988"	"&gamma;-butyrobetainyl-CoA:carnitine CoA transferase"	NA	"b0038,ECK0039,EG11559,yaaN,caiB,ECK120001512"	"CaiB,YaaN,ECK120005988"	"0"	"338"	"caiB"	"b0038"	NA	"gamma-butyrobetainyl-CoA:carnitine CoA transferase"	"37898"	"39115"	"-"	"CDS"	NA	"1"	"1"	"1"
