"Zika_gene_id"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"Zika_parsed_bnum"
487	"b0199"	"metN"	NA	"L-methionine/D-methionine ABC transporter ATP binding subunit"	221614	222645	"-"	"CDS"	NA	"b0199"
488	"b0200"	"gmhB"	NA	"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"	222833	223408	"+"	"CDS"	NA	"b0200"
489	"b0207"	"dkgB"	NA	"methylglyoxal reductase DkgB"	229167	229970	"+"	"CDS"	NA	"b0207"
490	"b0209"	"yafD"	NA	"endonuclease/exonuclease/phosphatase domain-containing protein YafD"	231122	231922	"+"	"CDS"	NA	"b0209"
491	"b0210"	"yafE"	NA	"putative S-adenosylmethionine-dependent methyltransferase"	231926	232549	"+"	"CDS"	NA	"b0210"
492	"b0211"	"mltD"	NA	"membrane-bound lytic murein transglycosylase D"	232597	233955	"-"	"CDS"	NA	"b0211"
493	"b0212"	"gloB"	NA	"hydroxyacylglutathione hydrolase GloB"	234027	234782	"-"	"CDS"	NA	"b0212"
494	"b0213"	"yafS"	NA	"putative S-adenosyl-L-methionine-dependent methyltransferase"	234816	235538	"+"	"CDS"	NA	"b0213"
495	"b0214"	"rnhA"	NA	"ribonuclease HI"	235535	236002	"-"	"CDS"	NA	"b0214"
496	"b0215"	"dnaQ"	NA	"DNA polymerase III subunit epsilon"	236067	236798	"+"	"CDS"	NA	"b0215"
497	"b0217"	"yafT"	NA	"lipoprotein YafT"	237335	238120	"+"	"CDS"	NA	"b0217"
498	"b4586"	"ykfM"	NA	"uncharacterized protein YkfM"	238257	238736	"-"	"CDS"	NA	"b4586"
499	"b0219"	"yafV"	NA	"2-oxoglutaramate amidase"	239419	240189	"-"	"CDS"	NA	"b0219"
500	"b0220"	"ivy"	NA	"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme"	240343	240816	"+"	"CDS"	NA	"b0220"
501	"b0221"	"fadE"	NA	"acyl-CoA dehydrogenase"	240859	243303	"-"	"CDS"	NA	"b0221"
502	"b0222"	"gmhA"	NA	"D-sedoheptulose 7-phosphate isomerase"	243543	244121	"+"	"CDS"	NA	"b0222"
503	"b0223"	"yafJ"	NA	"putative amidotransferase"	244327	245094	"+"	"CDS"	NA	"b0223"
504	"b0224"	"yafK"	NA	"L,D-transpeptidase domain-containing protein YafK"	245065	245805	"-"	"CDS"	NA	"b0224"
505	"b0225"	"yafQ"	NA	"ribosome-dependent mRNA interferase toxin YafQ"	245961	246239	"-"	"CDS"	1	"b0225"
506	"b0226"	"dinJ"	NA	"antitoxin/DNA-binding transcriptional repressor DinJ"	246242	246502	"-"	"CDS"	1	"b0226"
507	"b0227"	"yafL"	NA	"NlpC/P60 family protein YafL"	246712	247461	"+"	"CDS"	NA	"b0227"
508	"b0228"	"rayT"	NA	"REP-associated tyrosine transposase"	247637	248134	"+"	"CDS"	NA	"b0228"
509	"b0231"	"dinB"	NA	"DNA polymerase IV"	250898	251953	"+"	"CDS"	NA	"b0231"
510	"b0233"	"yafO"	NA	"ribosome-dependent mRNA interferase toxin YafO"	252301	252699	"+"	"CDS"	NA	"b0233"
511	"b0234"	"yafP"	NA	"putative acyltransferase with acyl-CoA N-acyltransferase domain"	252709	253161	"+"	"CDS"	NA	"b0234"
512	"b0237"	"pepD"	NA	"peptidase D"	254259	255716	"-"	"CDS"	NA	"b0237"
513	"b0238"	"gpt"	NA	"xanthine-guanine phsophoribosyltransferase"	255977	256435	"+"	"CDS"	NA	"b0238"
514	"b0239"	"frsA"	NA	"fermentation-respiration switch protein"	256527	257771	"+"	"CDS"	NA	"b0239"
515	"b0241"	"phoE"	NA	"outer membrane porin PhoE"	259045	260100	"-"	"CDS"	NA	"b0241"
516	"b0242"	"proB"	NA	"glutamate 5-kinase"	260388	261491	"+"	"CDS"	NA	"b0242"
517	"b0243"	"proA"	NA	"glutamate-5-semialdehyde dehydrogenase"	261503	262756	"+"	"CDS"	NA	"b0243"
518	"b0245"	"ykfI"	NA	"CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system"	263328	263669	"-"	"CDS"	NA	"b0245"
519	"b0246"	"yafW"	NA	"antitoxin of the YkfI-YafW toxin-antitoxin pair"	263690	264007	"-"	"CDS"	NA	"b0246"
520	"b4504"	"ykfH"	NA	"DUF987 domain-containing protein YkfH"	264026	264247	"-"	"CDS"	NA	"b4504"
521	"b0247"	"ykfG"	NA	"CP4-6 prophage; RadC-like JAB domain-containing protein YkfG"	264256	264732	"-"	"CDS"	NA	"b0247"
522	"b0248"	"yafX"	NA	"CP4-6 prophage; protein YafX"	264748	265206	"-"	"CDS"	NA	"b0248"
523	"b0249"	"ykfF"	NA	"CP4-6 prophage; protein YkfF"	265304	265543	"-"	"CDS"	NA	"b0249"
524	"b0250"	"ykfB"	NA	"CP4-6 prophage; protein YkfB"	265620	266087	"-"	"CDS"	NA	"b0250"
525	"b0251"	"yafY"	NA	"CP4-6 prophage; inner membrane lipoprotein YafY"	266110	266553	"-"	"CDS"	NA	"b0251"
526	"b0252"	"yafZ"	NA	"CP4-6 prophage; conserved protein YafZ"	267184	268005	"-"	"CDS"	NA	"b0252"
527	"b0253"	"ykfA"	NA	"CP4-6 prophage; putative GTP-binding protein YkfA"	268097	268960	"-"	"CDS"	NA	"b0253"
528	"b0256"	"insI-1"	NA	"IS30 transposase"	270603	271754	"+"	"CDS"	NA	"b0256"
529	"b0259"	"insH-1"	NA	"CP4-6 prophage; IS5 transposase and trans-activator"	274101	275081	"-"	"CDS"	NA	"b0259"
530	"b0260"	"mmuP"	NA	"S-methyl-L-methionine transporter"	275325	276728	"+"	"CDS"	NA	"b0260"
531	"b0261"	"mmuM"	NA	"homocysteine S-methyltransferase"	276715	277647	"+"	"CDS"	NA	"b0261"
532	"b0262"	"afuC"	NA	"CP4-6 prophage; ABC transporter ATP-binding protein AfuC"	277756	278802	"-"	"CDS"	NA	"b0262"
533	"b0267"	"yagA"	NA	"CP4-6 prophage; integrase core domain-containing protein YagA"	280829	281983	"-"	"CDS"	NA	"b0267"
534	"b0268"	"yagE"	NA	"CP4-6 prophage; putative 2-keto-3-deoxygluconate aldolase"	282278	283186	"+"	"CDS"	NA	"b0268"
535	"b0269"	"yagF"	NA	"CP4-6 prophage; D-xylonate dehydratase"	283201	285168	"+"	"CDS"	NA	"b0269"
536	"b0270"	"yagG"	NA	"putative D-xylonate transporter YagG"	285395	286777	"+"	"CDS"	NA	"b0270"
537	"b0271"	"yagH"	NA	"CP4-6 prophage; putative xylosidase/arabinosidase"	286789	288399	"+"	"CDS"	NA	"b0271"
538	"b0273"	"argF"	NA	"CP4-6 prophage; ornithine carbamoyltransferase ArgF"	289301	290305	"-"	"CDS"	NA	"b0273"
539	"b0277"	"yagK"	NA	"CP4-6 prophage; uncharacterized protein YagK"	292322	292948	"-"	"CDS"	NA	"b0277"
540	"b0278"	"yagL"	NA	"CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL"	293220	293918	"-"	"CDS"	1	"b0278"
541	"b0279"	"yagM"	NA	"CP4-6 prophage; protein YagM"	293945	294799	"-"	"CDS"	NA	"b0279"
542	"b0280"	"yagN"	NA	"CP4-6 prophage; protein YagN"	295139	295579	"-"	"CDS"	NA	"b0280"
543	"b0281"	"intF"	NA	"CP4-6 prophage; putative phage integrase"	295696	297096	"-"	"CDS"	NA	"b0281"
544	"b0283"	"paoD"	NA	"molybdenum cofactor insertion chaperone for PaoABC"	297770	298726	"-"	"CDS"	NA	"b0283"
545	"b0284"	"paoC"	NA	"aldehyde dehydrogenase: molybdenum cofactor-binding subunit"	298736	300934	"-"	"CDS"	NA	"b0284"
546	"b0285"	"paoB"	NA	"aldehyde dehydrogenase, FAD-binding subunit"	300931	301887	"-"	"CDS"	NA	"b0285"
547	"b0286"	"paoA"	NA	"aldehyde dehydrogenase, Fe-S subunit"	301884	302573	"-"	"CDS"	NA	"b0286"
548	"b0287"	"yagU"	NA	"inner membrane protein that contributes to acid resistance"	302991	303605	"+"	"CDS"	NA	"b0287"
549	"b0288"	"ykgJ"	NA	"putative zinc- or iron-chelating domain-containing protein YkgJ"	303853	304182	"-"	"CDS"	NA	"b0288"
550	"b0289"	"ecpE"	NA	"putative fimbrial chaperone EcpE"	304495	305205	"-"	"CDS"	NA	"b0289"
551	"b0290"	"ecpD"	NA	"fimbrial adhesin EcpD"	305174	306817	"-"	"CDS"	NA	"b0290"
552	"b0291"	"ecpC"	NA	"putative fimbrial usher protein EcpC"	306807	309332	"-"	"CDS"	NA	"b0291"
553	"b0292"	"ecpB"	NA	"putative fimbrial chaperone EcpB"	309358	310026	"-"	"CDS"	NA	"b0292"
554	"b0293"	"ecpA"	NA	"common pilus major subunit"	310084	310671	"-"	"CDS"	NA	"b0293"
555	"b0295"	"ykgL"	NA	"uncharacterized protein YkgL"	312112	312339	"+"	"CDS"	NA	"b0295"
556	"b4506"	"ykgO"	NA	"putative ribosomal protein"	312374	312514	"-"	"CDS"	NA	"b4506"
557	"b0296"	"ykgM"	NA	"putative ribosomal protein"	312514	312777	"-"	"CDS"	NA	"b0296"
558	"b4671"	"ykgR"	NA	"putative membrane protein YkgR"	313141	313242	"-"	"CDS"	NA	"b4671"
559	"b0298"	"insE-1"	NA	"IS3 element protein InsE"	315291	315590	"+"	"CDS"	NA	"b0298"
560	"b0299"	"insF-1"	NA	"IS3 element protein InsF"	315587	316453	"+"	"CDS"	NA	"b0299"
561	"b0301"	"rclC"	NA	"reactive chlorine species resistance protein C"	317726	318319	"-"	"CDS"	NA	"b0301"
562	"b0303"	"rclB"	NA	"DUF1471 domain-containing protein RclB"	318331	318567	"-"	"CDS"	NA	"b0303"
563	"b0304"	"rclA"	NA	"putative pyridine nucleotide-disulfide oxidoreductase RclA"	318676	320001	"-"	"CDS"	NA	"b0304"
564	"b0306"	"ykgE"	NA	"putative lactate utilization oxidoreductase YkgE"	321608	322327	"+"	"CDS"	NA	"b0306"
565	"b0307"	"ykgF"	NA	"putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain"	322338	323765	"+"	"CDS"	NA	"b0307"
566	"b0308"	"ykgG"	NA	"DUF162 domain-containing lactate utilization protein YkgG"	323758	324453	"+"	"CDS"	NA	"b0308"
567	"b0310"	"ykgH"	NA	"uncharacterized protein YkgH"	324696	325364	"-"	"CDS"	NA	"b0310"
568	"b0311"	"betA"	NA	"choline dehydrogenase"	325577	327247	"-"	"CDS"	NA	"b0311"
569	"b0312"	"betB"	NA	"betaine aldehyde dehydrogenase"	327261	328733	"-"	"CDS"	NA	"b0312"
570	"b0314"	"betT"	NA	"choline:H(+) symporter"	329463	331496	"+"	"CDS"	NA	"b0314"
571	"b0317"	"yahC"	NA	"uncharacterized protein YahC"	334525	335022	"-"	"CDS"	NA	"b0317"
572	"b0318"	"yahD"	NA	"ankyrin repeat-containing protein YahD"	335280	335885	"+"	"CDS"	NA	"b0318"
573	"b0319"	"yahE"	NA	"DUF2877 domain-containing protein YahE"	335925	336788	"+"	"CDS"	NA	"b0319"
574	"b0320"	"yahF"	NA	"putative acyl-CoA synthetase YahF"	336778	338325	"+"	"CDS"	NA	"b0320"
575	"b0321"	"yahG"	NA	"DUF1116 domain-containing protein YahG"	338325	339743	"+"	"CDS"	NA	"b0321"
576	"b0323"	"yahI"	NA	"carbamate kinase-like protein YahI"	340165	341115	"+"	"CDS"	NA	"b0323"
577	"b0324"	"yahJ"	NA	"putative deaminase with metallo-dependent hydrolase domain"	341125	342507	"+"	"CDS"	NA	"b0324"
578	"b0325"	"yahK"	NA	"aldehyde reductase, NADPH-dependent"	342884	343933	"+"	"CDS"	NA	"b0325"
579	"b0326"	"yahL"	NA	"uncharacterized protein YahL"	344176	344991	"+"	"CDS"	NA	"b0326"
580	"b0327"	"yahM"	NA	"uncharacterized protein YahM"	345404	345649	"+"	"CDS"	NA	"b0327"
581	"b0328"	"yahN"	NA	"putative amino acid exporter"	345666	346337	"-"	"CDS"	NA	"b0328"
582	"b0329"	"yahO"	NA	"DUF1471 domain-containing protein YahO"	346484	346759	"+"	"CDS"	NA	"b0329"
583	"b0331"	"prpB"	NA	"2-methylisocitrate lyase"	348682	349572	"+"	"CDS"	NA	"b0331"
584	"b0333"	"prpC"	NA	"2-methylcitrate synthase"	350012	351181	"+"	"CDS"	NA	"b0333"
585	"b0334"	"prpD"	NA	"2-methylcitrate dehydratase"	351215	352666	"+"	"CDS"	NA	"b0334"
586	"b0335"	"prpE"	NA	"propionyl-CoA synthetase"	352706	354592	"+"	"CDS"	NA	"b0335"
587	"b0336"	"codB"	NA	"cytosine transporter"	354922	356181	"+"	"CDS"	NA	"b0336"
588	"b0337"	"codA"	NA	"cytosine/isoguanine deaminase"	356171	357454	"+"	"CDS"	NA	"b0337"
589	"b0339"	"cynT"	NA	"carbonic anhydrase 1"	358799	359458	"+"	"CDS"	NA	"b0339"
590	"b0340"	"cynS"	NA	"cyanase"	359489	359959	"+"	"CDS"	NA	"b0340"
591	"b0341"	"cynX"	NA	"cyanate transporter"	359992	361146	"+"	"CDS"	NA	"b0341"
592	"b0342"	"lacA"	NA	"galactoside O-acetyltransferase"	361249	361860	"-"	"CDS"	NA	"b0342"
593	"b0343"	"lacY"	NA	"lactose permease"	361926	363179	"-"	"CDS"	NA	"b0343"
594	"b0344"	"lacZ"	NA	"beta-galactosidase"	363231	366305	"-"	"CDS"	NA	"b0344"
595	"b0347"	"mhpA"	NA	"putative 3-(3-hydroxyphenyl)propanoate/3-hydroxycinnamate hydroxylase"	368611	370275	"+"	"CDS"	NA	"b0347"
596	"b0348"	"mhpB"	NA	"3-carboxyethylcatechol 2,3-dioxygenase"	370277	371221	"+"	"CDS"	NA	"b0348"
597	"b0349"	"mhpC"	NA	"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase"	371239	372105	"+"	"CDS"	NA	"b0349"
598	"b0350"	"mhpD"	NA	"2-hydroxypentadienoate hydratase"	372115	372924	"+"	"CDS"	NA	"b0350"
599	"b0351"	"mhpF"	NA	"acetaldehyde dehydrogenase (acylating)"	372921	373871	"+"	"CDS"	NA	"b0351"
600	"b0352"	"mhpE"	NA	"4-hydroxy-2-oxovalerate aldolase"	373868	374881	"+"	"CDS"	NA	"b0352"
601	"b0353"	"mhpT"	NA	"3-hydroxyphenylpropionate/3- hydroxycinnamate:H(+) symporter"	375459	376670	"+"	"CDS"	NA	"b0353"
602	"b0354"	"yaiL"	NA	"DUF2058 domain-containing protein YaiL"	376772	377311	"+"	"CDS"	NA	"b0354"
603	"b0355"	"frmB"	NA	"S-formylglutathione hydrolase FrmB"	377535	378368	"-"	"CDS"	NA	"b0355"
604	"b0356"	"frmA"	NA	"S-(hydroxymethyl)glutathione dehydrogenase"	378462	379571	"-"	"CDS"	NA	"b0356"
605	"b0357"	"frmR"	NA	"DNA-binding transcriptional repressor FrmR"	379606	379881	"-"	"CDS"	1	"b0357"
606	"b0358"	"yaiO"	NA	"outer membrane protein YaiO"	380069	380842	"-"	"CDS"	NA	"b0358"
607	"b0360"	"insC-1"	NA	"IS2 element protein InsA"	381351	381716	"+"	"CDS"	NA	"b0360"
608	"b0361"	"insD-1"	NA	"IS2 element protein"	381674	382579	"+"	"CDS"	NA	"b0361"
609	"b0363"	"yaiP"	NA	"putative glucosyltransferase"	382739	383935	"-"	"CDS"	NA	"b0363"
610	"b0364"	"yaiS"	NA	"putative deacetylase YaiS"	384059	384616	"-"	"CDS"	NA	"b0364"
611	"b0365"	"tauA"	NA	"taurine ABC transporter periplasmic binding protein"	385232	386194	"+"	"CDS"	NA	"b0365"
612	"b0366"	"tauB"	NA	"taurine ABC transporter ATP binding subunit"	386207	386974	"+"	"CDS"	NA	"b0366"
613	"b0367"	"tauC"	NA	"taurine ABC transporter membrane subunit"	386971	387798	"+"	"CDS"	NA	"b0367"
614	"b0368"	"tauD"	NA	"taurine dioxygenase"	387795	388646	"+"	"CDS"	NA	"b0368"
615	"b0369"	"hemB"	NA	"porphobilinogen synthase"	388753	389727	"-"	"CDS"	NA	"b0369"
616	"b0375"	"yaiV"	NA	"putative DNA-binding transcriptional regulator IprA"	394506	395129	"+"	"CDS"	1	"b0375"
617	"b0376"	"ampH"	NA	"peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase"	395130	396287	"-"	"CDS"	NA	"b0376"
618	"b0377"	"sbmA"	NA	"peptide antibiotic/peptide nucleic acid transporter"	396639	397859	"+"	"CDS"	NA	"b0377"
619	"b0378"	"yaiW"	NA	"surface-exposed outer membrane lipoprotein"	397872	398966	"+"	"CDS"	NA	"b0378"
620	"b0379"	"yaiY"	NA	"inner membrane protein"	399025	399333	"-"	"CDS"	NA	"b0379"
621	"b0380"	"yaiZ"	NA	"DUF2754 domain-containing protein YaiZ"	399593	399805	"+"	"CDS"	NA	"b0380"
622	"b0381"	"ddlA"	NA	"D-alanine--D-alanine ligase A"	399829	400923	"-"	"CDS"	NA	"b0381"
623	"b0382"	"iraP"	NA	"anti-adaptor protein for sigma(S) stabilization"	401386	401646	"+"	"CDS"	NA	"b0382"
624	"b0383"	"phoA"	NA	"alkaline phosphatase"	401747	403162	"+"	"CDS"	NA	"b0383"
625	"b0384"	"psiF"	NA	"PsiF family protein"	403281	403601	"+"	"CDS"	NA	"b0384"
626	"b0385"	"yaiC"	NA	"diguanylate cyclase DgcC"	403703	404818	"+"	"CDS"	NA	"b0385"
627	"b0386"	"proC"	NA	"pyrroline-5-carboxylate reductase"	404835	405644	"-"	"CDS"	NA	"b0386"
628	"b0387"	"yaiI"	NA	"DUF188 domain-containing protein YaiI"	405764	406222	"+"	"CDS"	NA	"b0387"
629	"b0388"	"aroL"	NA	"shikimate kinase 2"	406405	406929	"+"	"CDS"	NA	"b0388"
630	"b0389"	"yaiA"	NA	"protein YaiA"	406979	407170	"+"	"CDS"	NA	"b0389"
631	"b0390"	"aroM"	NA	"protein AroM"	407428	408105	"+"	"CDS"	NA	"b0390"
632	"b0391"	"yaiE"	NA	"nucleoside phosphorylase PpnP"	408177	408461	"+"	"CDS"	NA	"b0391"
633	"b0393"	"rdgC"	NA	"nucleoid-associated protein RdgC"	409108	410019	"-"	"CDS"	NA	"b0393"
634	"b0396"	"araJ"	NA	"putative transport protein AraJ"	411297	412481	"-"	"CDS"	NA	"b0396"
635	"b0397"	"sbcC"	NA	"ATP dependent, structure specific DNA nuclease - SbcC subunit"	412607	415753	"-"	"CDS"	NA	"b0397"
636	"b0398"	"sbcD"	NA	"ATP dependent, structure specific DNA nuclease - SbcD subunit"	415750	416952	"-"	"CDS"	NA	"b0398"
637	"b0400"	"phoR"	NA	"sensory histidine kinase PhoR"	417889	419184	"+"	"CDS"	NA	"b0400"
638	"b0401"	"brnQ"	NA	"branched chain amino acid transporter BrnQ"	419591	420910	"+"	"CDS"	NA	"b0401"
639	"b0402"	"proY"	NA	"putative transporter ProY"	420986	422359	"+"	"CDS"	NA	"b0402"
640	"b0403"	"malZ"	NA	"maltodextrin glucosidase"	422518	424332	"+"	"CDS"	NA	"b0403"
641	"b0404"	"acpH"	NA	"acyl carrier protein phosphodiesterase"	424337	424918	"-"	"CDS"	NA	"b0404"
642	"b0405"	"queA"	NA	"tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase"	425011	426081	"+"	"CDS"	NA	"b0405"
643	"b0406"	"tgt"	NA	"tRNA-guanine transglycosylase"	426137	427264	"+"	"CDS"	NA	"b0406"
644	"b0407"	"yajC"	NA	"Sec translocon accessory complex subunit YajC"	427287	427619	"+"	"CDS"	NA	"b0407"
645	"b0408"	"secD"	NA	"Sec translocon accessory complex subunit SecD"	427647	429494	"+"	"CDS"	NA	"b0408"
646	"b0409"	"secF"	NA	"Sec translocon accessory complex subunit SecF"	429505	430476	"+"	"CDS"	NA	"b0409"
647	"b0410"	"yajD"	NA	"HNH nuclease family protein"	430605	430952	"+"	"CDS"	NA	"b0410"
648	"b0411"	"tsx"	NA	"nucleoside-specific channel-forming protein Tsx"	431129	432013	"-"	"CDS"	NA	"b0411"
649	"b0412"	"yajI"	NA	"putative lipoprotein YajI"	432312	432851	"-"	"CDS"	NA	"b0412"
650	"b0414"	"ribD"	NA	"fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase"	433455	434558	"+"	"CDS"	NA	"b0414"
651	"b0415"	"ribE"	NA	"6,7-dimethyl-8-ribityllumazine synthase"	434647	435117	"+"	"CDS"	NA	"b0415"
652	"b0416"	"nusB"	NA	"transcription antitermination protein NusB"	435137	435556	"+"	"CDS"	NA	"b0416"
653	"b0417"	"thiL"	NA	"thiamine monophosphate kinase"	435634	436611	"+"	"CDS"	NA	"b0417"
654	"b0418"	"pgpA"	NA	"phosphatidylglycerophosphatase A"	436589	437107	"+"	"CDS"	NA	"b0418"
655	"b0419"	"yajO"	NA	"1-deoxyxylulose-5-phosphate synthase YajO"	437161	438135	"-"	"CDS"	NA	"b0419"
656	"b0420"	"dxs"	NA	"1-deoxy-D-xylulose-5-phosphate synthase"	438315	440177	"-"	"CDS"	NA	"b0420"
657	"b0421"	"ispA"	NA	"geranyl diphosphate/farnesyl diphosphate synthase"	440202	441101	"-"	"CDS"	NA	"b0421"
658	"b0422"	"xseB"	NA	"exodeoxyribonuclease VII subunit XseB"	441101	441343	"-"	"CDS"	NA	"b0422"
659	"b0423"	"thiI"	NA	"tRNA uridine 4-sulfurtransferase"	441549	442997	"+"	"CDS"	NA	"b0423"
660	"b0424"	"yajL"	NA	"protein/nucleic acid deglycase 3"	443051	443641	"-"	"CDS"	NA	"b0424"
661	"b0425"	"panE"	NA	"2-dehydropantoate 2-reductase"	443604	444515	"-"	"CDS"	NA	"b0425"
662	"b0426"	"yajQ"	NA	"nucleotide binding protein"	444683	445174	"+"	"CDS"	NA	"b0426"
663	"b0427"	"yajR"	NA	"putative major facilitator superfamily transport protein YajR"	445302	446666	"-"	"CDS"	NA	"b0427"
664	"b0428"	"cyoE"	NA	"heme O synthase"	446815	447705	"-"	"CDS"	NA	"b0428"
665	"b0429"	"cyoD"	NA	"cytochrome bo3 ubiquinol oxidase subunit 4"	447717	448046	"-"	"CDS"	NA	"b0429"
666	"b0430"	"cyoC"	NA	"cytochrome bo3 ubiquinol oxidase subunit 3"	448046	448660	"-"	"CDS"	NA	"b0430"
667	"b0431"	"cyoB"	NA	"cytochrome bo3 ubiquinol oxidase subunit 1"	448650	450641	"-"	"CDS"	NA	"b0431"
668	"b0432"	"cyoA"	NA	"cytochrome bo3 ubiquinol oxidase subunit 2"	450663	451610	"-"	"CDS"	NA	"b0432"
669	"b0433"	"ampG"	NA	"muropeptide:H(+) symporter"	452070	453545	"-"	"CDS"	NA	"b0433"
670	"b0434"	"yajG"	NA	"putative lipoprotein YajG"	453589	454167	"-"	"CDS"	NA	"b0434"
671	"b0436"	"tig"	NA	"trigger factor"	455133	456431	"+"	"CDS"	NA	"b0436"
672	"b0437"	"clpP"	NA	"ATP-dependent Clp protease proteolytic subunit"	456677	457300	"+"	"CDS"	NA	"b0437"
673	"b0438"	"clpX"	NA	"ATP-dependent Clp protease ATP-binding subunit ClpX"	457426	458700	"+"	"CDS"	NA	"b0438"
674	"b0439"	"lon"	NA	"Lon protease"	458888	461242	"+"	"CDS"	NA	"b0439"
675	"b0441"	"ppiD"	NA	"periplasmic folding chaperone"	461915	463786	"+"	"CDS"	NA	"b0441"
676	"b0442"	"ybaV"	NA	"helix-hairpin-helix 3 family protein"	463937	464308	"+"	"CDS"	NA	"b0442"
677	"b0443"	"fadM"	NA	"thioesterase III"	464402	464800	"+"	"CDS"	NA	"b0443"
678	"b0444"	"queC"	NA	"7-cyano-7-deazaguanine synthase"	464852	465547	"-"	"CDS"	NA	"b0444"
679	"b0445"	"ybaE"	NA	"putative protein YbaE"	465612	467312	"-"	"CDS"	NA	"b0445"
680	"b0446"	"cof"	NA	"HMP-PP phosphatase"	467412	468230	"+"	"CDS"	NA	"b0446"
681	"b0448"	"mdlA"	NA	"ABC transporter family protein MdlA"	468871	470643	"+"	"CDS"	NA	"b0448"
682	"b0449"	"mdlB"	NA	"ABC transporter family protein MdlB"	470636	472417	"+"	"CDS"	NA	"b0449"
683	"b0450"	"glnK"	NA	"nitrogen regulator GlnK"	472598	472936	"+"	"CDS"	NA	"b0450"
684	"b0451"	"amtB"	NA	"ammonia/ammonium transporter"	472966	474252	"+"	"CDS"	NA	"b0451"
685	"b0452"	"tesB"	NA	"acyl-CoA thioesterase II"	474301	475161	"-"	"CDS"	NA	"b0452"
686	"b0453"	"ybaY"	NA	"PF09619 family lipoprotein YbaY"	475379	475951	"+"	"CDS"	NA	"b0453"
687	"b0454"	"ybaZ"	NA	"DNA base-flipping protein"	475982	476371	"-"	"CDS"	NA	"b0454"
688	"b0456"	"ybaA"	NA	"DUF1428 domain-containing protein YbaA"	476672	477025	"+"	"CDS"	NA	"b0456"
689	"b0457"	"ylaB"	NA	"c-di-GMP phosphodiesterase PdeB"	477067	478617	"-"	"CDS"	NA	"b0457"
690	"b0458"	"ylaC"	NA	"putative inner membrane protein"	478781	479251	"-"	"CDS"	NA	"b0458"
691	"b0459"	"maa"	NA	"maltose O-acetyltransferase"	479367	479918	"-"	"CDS"	NA	"b0459"
692	"b0461"	"tomB"	NA	"protein that modulates Hha toxicity"	480334	480708	"-"	"CDS"	NA	"b0461"
693	"b0462"	"acrB"	NA	"multidrug efflux pump RND permease AcrB"	481254	484403	"-"	"CDS"	NA	"b0462"
694	"b0463"	"acrA"	NA	"multidrug efflux pump membrane fusion lipoprotein AcrA"	484426	485619	"-"	"CDS"	NA	"b0463"
695	"b0465"	"mscK"	NA	"potassium dependent, small conductance mechanosensitive channel"	486536	489898	"+"	"CDS"	NA	"b0465"
696	"b0466"	"ybaM"	NA	"DUF2496 domain-containing protein YbaM"	490110	490271	"-"	"CDS"	NA	"b0466"
697	"b0467"	"priC"	NA	"primosomal replication protein N"	490285	490812	"-"	"CDS"	NA	"b0467"
698	"b0468"	"ybaN"	NA	"conserved inner membrane protein YbaN"	490882	491259	"+"	"CDS"	NA	"b0468"
699	"b0469"	"apt"	NA	"adenine phosphoribosyltransferase"	491412	491963	"+"	"CDS"	NA	"b0469"
700	"b0470"	"dnaX"	NA	"DNA polymerase III subunit tau"	492092	494023	"+"	"CDS"	NA	"b0470"
701	"b0471"	"ybaB"	NA	"putative nucleoid-associated protein YbaB"	494076	494405	"+"	"CDS"	1	"b0471"
702	"b0472"	"recR"	NA	"DNA repair protein RecR"	494405	495010	"+"	"CDS"	NA	"b0472"
703	"b0473"	"htpG"	NA	"chaperone protein HtpG"	495120	496994	"+"	"CDS"	NA	"b0473"
704	"b0474"	"adk"	NA	"adenylate kinase"	497175	497819	"+"	"CDS"	NA	"b0474"
705	"b0475"	"hemH"	NA	"ferrochelatase"	498055	499017	"+"	"CDS"	NA	"b0475"
706	"b0476"	"aes"	NA	"acetylesterase"	499014	499973	"-"	"CDS"	NA	"b0476"
707	"b0477"	"gsk"	NA	"inosine/guanosine kinase"	500125	501429	"+"	"CDS"	NA	"b0477"
708	"b0478"	"ybaL"	NA	"putative transporter YbaL"	501562	503238	"-"	"CDS"	NA	"b0478"
709	"b0479"	"fsr"	NA	"fosmidomycin efflux pump"	503476	504696	"-"	"CDS"	NA	"b0479"
710	"b0480"	"ushA"	NA	"5-nucleotidase/UDP-sugar hydrolase"	504914	506566	"+"	"CDS"	NA	"b0480"
711	"b0481"	"ybaK"	NA	"Cys-tRNA(Pro) and Cys-tRNA(Cys) deacylase"	506603	507082	"-"	"CDS"	NA	"b0481"
