Consensus_bnumber	Consensus_symbol	Consensus_start	Consensus_stop	Consensus_strand	Consensus_TF	gene_synonyms	product_synonyms	RegulonDB_gene_id	RegulonDB_symbol	RegulonDB_bnumber	RegulonDB_strand	RegulonDB_type	RegulonDB_product_id	RegulonDB_product_name	RegulonDB_product_type	RegulonDB_start	RegulonDB_stop	RegulonDB_TF	refseq_id
b1126	potA	1184458	1185594	-	0	"b1126,ECK1112,EG10749,potA,ECK120000740"	"PotA,ECK120005216,NP_415644.1"	ECK120000740	potA	b1126	-	NA	ECK120005216	spermidine preferential ABC transporter ATP binding subunit	NA	1184458	1185594	0	NP_415644.1
b1127	pepT	1185844	1187070	+	0	"b1127,ECK1113,EG11549,pepT,ECK120001503"	"PepT,ECK120005979,NP_415645.1"	ECK120001503	pepT	b1127	+	NA	ECK120005979	peptidase T	NA	1185844	1187070	0	NP_415645.1
b1128	roxA	1187119	1188240	-	0	"b1128,ECK1114,EG11430,ycfD,roxA,ECK120001394"	"RoxA,YcfD,ECK120005870,NP_415646.4"	ECK120001394	roxA	b1128	-	NA	ECK120005870	ribosomal protein-arginine oxygenase	NA	1187119	1188240	0	NP_415646.4
b1129	phoQ	1188316	1189776	-	0	"b1129,ECK1115,EG10732,phoQ,ECK120000723"	"PhoQ,ECK120005199,NP_415647.1"	ECK120000723	phoQ	b1129	-	NA	ECK120005199	sensor histidine kinase PhoQ	NA	1188316	1189776	0	NP_415647.1
b1130	phoP	1189776	1190447	-	1	"b1130,ECK1116,EG10731,phoP,ECK120000722"	"PhoP,PhoP response regulator,ECK120005198,NP_415648.1"	ECK120000722	phoP	b1130	-	NA	ECK120005198	DNA-binding transcriptional dual regulator PhoP	NA	1189776	1190447	1	NP_415648.1
b1131	purB	1190616	1191986	-	0	"ade,ade(h),b1131,ECK1117,EG11314,purB,ECK120001285"	"Ade,PurB,ECK120005761,NP_415649.1"	ECK120001285	purB	b1131	-	NA	ECK120005761	adenylosuccinate lyase	NA	1190616	1191986	0	NP_415649.1
b1132	hflD	1191990	1192631	-	0	"b1132,ECK1118,EG11345,hslZ,ycfC,hflD,ECK120001316"	"HflD,HslZ,YcfC,ECK120005792,NP_415650.1"	ECK120001316	hflD	b1132	-	NA	ECK120005792	lysogenization regulator	NA	1191990	1192631	0	NP_415650.1
b1133	mnmA	1192667	1193773	-	0	"asuE,b1133,ECK1119,EG11344,trmU,ycfB,mnmA,ECK120001315"	"AsuE,MnmA,TrmU,YcfB,ECK120005791,NP_415651.4"	ECK120001315	mnmA	b1133	-	NA	ECK120005791	tRNA-specific 2-thiouridylase	NA	1192667	1193773	0	NP_415651.4
b1134	nudJ	1193827	1194288	-	0	"b1134,ECK1120,G6580,ymfB,nudJ,ECK120003176"	"NudJ,YmfB,ECK120007635,NP_415652.1"	ECK120003176	nudJ	b1134	-	NA	ECK120007635	phosphatase NudJ	NA	1193827	1194288	0	NP_415652.1
b1135	rluE	1194298	1194951	-	0	"b1135,ECK1121,G6581,ymfC,rluE,ECK120003177"	"ribosomal large subunit pseudouridine synthase E,RluE,YmfC,ECK120007636,NP_415653.4"	ECK120003177	rluE	b1135	-	NA	ECK120007636	23S rRNA pseudouridine<sup>2457</sup> synthase	NA	1194298	1194951	0	NP_415653.4
b1136	icd	1195123	1196373	+	0	"b1136,ECK1122,EG10489,icdA,icdE,icd,ECK120000482"	"Icd,IcdA,IcdE,ECK120004958,NP_415654.1"	ECK120000482	icd	b1136	+	NA	ECK120004958	isocitrate dehydrogenase	NA	1195123	1196373	0	NP_415654.1
ECK120002608	C0293	1196714	1196786	+	0	"G0-8897,NA,C0293,ECK120002608"	"ECK120002608,NA"	ECK120002608	C0293	NA	+	Phantom Gene	NA	NA	NA	1196714	1196786	0	NA
b1137	ymfD	1196867	1197532	-	0	"b1137,ECK1123,G6582,ymfD,ECK120003178"	"YmfD,ECK120007637,NP_415655.1"	ECK120003178	ymfD	b1137	-	NA	ECK120007637	e14 prophage; putative SAM-dependent methyltransferase	NA	1196867	1197532	0	NP_415655.1
b1138	ymfE	1197533	1198237	-	0	"b1138,ECK1124,G6583,ymfE,ECK120003179"	"e14 prophage; putative inner membrane protein,YmfE,ECK120007638,NP_415656.1"	ECK120003179	ymfE	b1138	-	NA	ECK120007638	e14 prophage; uncharacterized protein YmfE	NA	1197533	1198237	0	NP_415656.1
b1139	lit	1198695	1199588	+	0	"b1139,ECK1125,EG10535,lit,ECK120000528"	"Lit, cell death peptidase; phage exclusion,ECK120005004,NP_415657.1"	ECK120000528	lit	b1139	+	NA	ECK120005004	e14 prophage; cell death peptidase Lit	NA	1198695	1199588	0	NP_415657.1
b1140	intE	1199679	1200806	-	0	"b1140,ECK1126,EG12370,int(Lambda),ycfI,intE,ECK120002238"	"IntE,YcfI,ECK120006713,NP_415658.1"	ECK120002238	intE	b1140	-	NA	ECK120006713	e14 prophage; putative integrase	NA	1199679	1200806	0	NP_415658.1
b1141	xisE	1200787	1201032	-	0	"b1141,ECK1127,G6585,ymfG,xisE,ECK120003180"	"XisE,YmfG,ECK120007639,NP_415659.1"	ECK120003180	xisE	b1141	-	NA	ECK120007639	e14 prophage; putative excisionase	NA	1200787	1201032	0	NP_415659.1
b1142	ymfH	1201069	1201380	-	0	"b1142,ECK1128,G6586,ymfH,ECK120003181"	"YmfH,ECK120007640"	ECK120003181	ymfH	b1142	-	NA	ECK120007640	e14 prophage; putative protein YmfH	NA	1201069	1201380	0	NA
b1143	ymfI	1201497	1201838	+	0	"b1143,ECK1129,G6587,ymfI,ECK120003182"	"YmfI,ECK120007641,NP_415661.2"	ECK120003182	ymfI	b1143	+	NA	ECK120007641	e14 prophage; uncharacterized protein YmfI	NA	1201497	1201838	0	NP_415661.2
b1144	ymfJ	1201776	1202084	-	0	"b1144,ECK1130,G6588,ymfJ,ECK120003183"	"YmfJ,ECK120007642,NP_415662.2"	ECK120003183	ymfJ	b1144	-	NA	ECK120007642	e14 prophage; uncharacterized protein YmfJ	NA	1201776	1202084	0	NP_415662.2
b1145	ymfK	1202259	1202933	-	0	"b1145,cohE,ECK1131,G6589,ymfK,ECK120003184"	"CohE,YmfK,ECK120007643,NP_415663.1"	ECK120003184	ymfK	b1145	-	NA	ECK120007643	e14 prophage; putative repressor protein YmfK	NA	1202259	1202933	0	NP_415663.1
U00096_ncRNA_1203677_1203886	nc10	1202901	1203109	-	NA	"U00096_ncRNA_1203677_1203886,nc10,ECK125203392"	"trans-encoded antisense RNA,ECK125203393"	ECK125203392	nc10	NA	-	NA	ECK125203393	Nc10	small RNA	1202901	1203109	NA	NA
b1146	ymfT	1203024	1203224	+	0	"b1146,croE,ECK1132,G6590,ymfT,ECK120003185"	"CroE,YmfT,ECK120007644,NP_415664.2"	ECK120003185	ymfT	b1146	+	NA	ECK120007644	e14 prophage; putative DNA-binding transcriptional regulator YmfT	NA	1203024	1203224	0	NP_415664.2
b1147	ymfL	1203268	1203825	+	0	"b1147,ECK1133,G6591,ymfL,ECK120003186"	"e14 prophage; putative DNA-binding transcriptional regulator,YmfL,ECK120007645,NP_415665.2"	ECK120003186	ymfL	b1147	+	NA	ECK120007645	e14 prophage; uncharacterized protein YmfL	NA	1203268	1203825	0	NP_415665.2
b1148	ymfM	1203822	1204160	+	0	"b1148,ECK1134,G6592,ymfM,ECK120003187"	"YmfM,ECK120007646,NP_415666.1"	ECK120003187	ymfM	b1148	+	NA	ECK120007646	e14 prophage; uncharacterized protein YmfM	NA	1203822	1204160	0	NP_415666.1
b4692	oweE	1204170	1204403	+	0	"b4692,ECK4507,G0-16719,oweE,ECK125276500"	"b4692,ECK125276576"	ECK125276500	oweE	b4692	+	Pseudo Gene	ECK125276576	phage replication protein	NA	1204170	1204403	0	NA
b1149	ymfN	1204170	1205537	+	0	"b1149,ECK1135,G6593,ymfN,ECK120003188"	"e14 prophage; phage terminase-like protein YmfN,e14 prophage; putative DNA-binding transcriptional regulator,YmfN,ECK120007647"	ECK120003188	ymfN	b1149	+	NA	ECK120007647	e14 prophage; chimeric replication protein/phage terminase YmfN	NA	1204170	1205537	0	NA
b4693	aaaE	1204401	1205537	+	0	"b4693,ECK1135,G0-16720,aaaE,ECK125276503"	"b4693,ECK125276567"	ECK125276503	aaaE	b4693	+	Pseudo Gene	ECK125276567	phage terminase	NA	1204401	1205537	0	NA
b1150	ymfR	1205549	1205731	+	0	"b1150,ECK1136,G6594,ymfR,ECK120003189"	"YmfR,ECK120007648,NP_415668.1"	ECK120003189	ymfR	b1150	+	NA	ECK120007648	e14 prophage; IPR020297 domain-containing protein YmfR	NA	1205549	1205731	0	NP_415668.1
b1151	beeE	1205731	1206204	+	0	"b1151,ECK1137,G6595,ymfO,beeE,ECK120003190"	"BeeE,YmfO,ECK120007649"	ECK120003190	beeE	b1151	+	NA	ECK120007649	e14 prophage; protein BeeE	NA	1205731	1206204	0	NA
b1152	jayE	1206131	1206922	+	0	"b1152,ECK1138,G6596,ymfP,jayE,ECK120003191"	"b1152,ECK120007650"	ECK120003191	jayE	b1152	+	Pseudo Gene	ECK120007650	e14 prophage; putative protein JayE	NA	1206131	1206922	0	NA
b1153	ymfQ	1206913	1207497	+	0	"b1153,ECK1139,G6597,ymfQ,ECK120003192"	"YmfQ,ECK120007651,NP_415671.1"	ECK120003192	ymfQ	b1153	+	NA	ECK120007651	e14 prophage; DUF2313 domain-containing protein YmfQ	NA	1206913	1207497	0	NP_415671.1
b1154	ycfK	1207501	1208130	+	0	"b1154,ECK1140,EG12877,stfP,ycfK,ECK120002416"	"StfP,YcfK,ECK120006891,NP_415672.1"	ECK120002416	ycfK	b1154	+	NA	ECK120006891	e14 prophage; protein StfP	NA	1207501	1208130	0	NP_415672.1
b1155	tfaP	1208132	1208545	+	0	"b1155,ECK1141,G6598,ymfS,tfaP,ECK120003193"	"TfaP,YmfS,ECK120007652,NP_415673.1"	ECK120003193	tfaP	b1155	+	NA	ECK120007652	e14 prophage; putative tail fiber assembly protein TfaP	NA	1208132	1208545	0	NP_415673.1
b1156	tfaE	1208517	1209119	-	0	"b1156,ECK1142,EG11120,ycfA,tfaE,ECK120001104"	"TfaE,YcfA,ECK120005580,NP_415674.1"	ECK120001104	tfaE	b1156	-	NA	ECK120005580	e14 prophage; putative tail fiber assembly protein TfaE	NA	1208517	1209119	0	NP_415674.1
b1157	stfE	1209119	1209655	-	0	"b1157,ECK1143,G6599,ycfE,stfE,ECK120003194"	"b1157,ECK120007653"	ECK120003194	stfE	b1157	-	Pseudo Gene	ECK120007653	e14 prophage; putative side tail fiber protein fragment	NA	1209119	1209655	0	NA
b1158	pinE	1209685	1210239	+	0	"b1158,ECK1144,EG10737,pin,pinE,ECK120000728"	"Pin,PinE,ECK120005204,NP_415676.1"	ECK120000728	pinE	b1158	+	NA	ECK120005204	e14 prophage; site-specific DNA recombinase	NA	1209685	1210239	0	NP_415676.1
b1159	mcrA	1210346	1211179	+	0	"b1159,ECK1145,EG10573,rglA,mcrA,ECK120000566"	"EcoKMcrA,McrA,restriction of DNA at 5-methylcytosine residues,RglA,ECK120005042,NP_415677.1"	ECK120000566	mcrA	b1159	+	NA	ECK120005042	e14 prophage; 5-methylcytosine-specific restriction enzyme McrA	NA	1210346	1211179	0	NP_415677.1
b4519	icdC	1211413	1211577	+	0	"b4519,ECK1146,G0-10556,icdC,ECK120026447"	"b4519,ECK120026463"	ECK120026447	icdC	b4519	+	Pseudo Gene	ECK120026463	protein IcdC	NA	1211413	1211577	0	NA
b1160	iraM	1211680	1212003	-	0	"b1160,ECK1147,elb1,elbA,G6600,ycgW,iraM,ECK120003195"	"ElbA,IraM,YcgW,ECK120007654,NP_415678.1"	ECK120003195	iraM	b1160	-	NA	ECK120007654	"anti-adaptor protein IraM, inhibitor of &sigma;<sup>S</sup> proteolysis"	NA	1211680	1212003	0	NP_415678.1
b4738	ymgK	1212260	1212304	-	0	"b4738,ECK4595,G0-16733,ymgK,ECK125276520"	"YmgK,ECK125276551"	ECK125276520	ymgK	b4738	-	NA	ECK125276551	protein YmgK	NA	1212260	1212304	0	NA
b4739	ymgL	1212540	1212650	-	0	"b4739,ECK4596,G0-16734,ymgL,ECK125276530"	"YmgL,ECK125276547"	ECK125276530	ymgL	b4739	-	NA	ECK125276547	protein YmgL	NA	1212540	1212650	0	NA
b1161	ycgX	1212703	1213107	-	0	"b1161,ECK1148,G6601,ycgX,ECK120003196"	"YcgX,ECK120007655,NP_415679.1"	ECK120003196	ycgX	b1161	-	NA	ECK120007655	DUF1398 domain-containing protein YcgX	NA	1212703	1213107	0	NP_415679.1
b1162	bluR	1213328	1214059	-	1	"b1162,ECK1149,G6602,ycgE,bluR,ECK120003197"	"BluR,YcgE,ECK120007656,NP_415680.1"	ECK120003197	bluR	b1162	-	NA	ECK120007656	DNA-binding transcriptional repressor BluR	NA	1213328	1214059	1	NP_415680.1
b1163	bluF	1214264	1215475	-	0	"b1163,ECK1150,G6603,ycgF,bluF,ECK120003198"	"Blrp,blue light-responsive regulator of BluR,BluF,YcgF,ECK120007657,NP_415681.1"	ECK120003198	bluF	b1163	-	NA	ECK120007657	blue light- and temperature-regulated antirepressor BluF	NA	1214264	1215475	0	NP_415681.1
b1164	ycgZ	1215789	1216025	+	0	"b1164,ECK1151,G6604,ycgZ,ECK120003199"	"YcgZ,ECK120007658,NP_415682.1"	ECK120003199	ycgZ	b1164	+	NA	ECK120007658	putative two-component system connector protein YcgZ	NA	1215789	1216025	0	NP_415682.1
b1165	ymgA	1216068	1216340	+	0	"b1165,ECK1152,G6605,ymgA,ECK120003200"	"protein involved in biofilm formation,YmgA,ECK120007659,NP_415683.1"	ECK120003200	ymgA	b1165	+	NA	ECK120007659	putative two-component system connector protein YmgA	NA	1216068	1216340	0	NP_415683.1
b1166	ariR	1216369	1216635	+	0	"b1166,ECK1153,G6606,ymgB,ariR,ECK120003201"	"AriR,regulator of acid resistance, influenced by indole,YmgB,ECK120007660,NP_415684.1"	ECK120003201	ariR	b1166	+	NA	ECK120007660	putative two-component system connector protein AriR	NA	1216369	1216635	0	NP_415684.1
b1167	ymgC	1216748	1216996	+	0	"b1167,ECK1154,G6607,ymgC,ECK120003202"	"protein involved in biofilm formation,YmgC,ECK120007661,NP_415685.1"	ECK120003202	ymgC	b1167	+	NA	ECK120007661	protein YmgC	NA	1216748	1216996	0	NP_415685.1
b1168	pdeG	1217328	1218851	+	0	"b1168,ECK1155,G6608,ycgG,pdeG,ECK120003203"	"PdeG,YcgG,ECK120007662,NP_415686.2"	ECK120003203	pdeG	b1168	+	NA	ECK120007662	putative c-di-GMP phosphodiesterase PdeG	NA	1217328	1218851	0	NP_415686.2
b4520	ymgF	1218983	1219201	+	0	"b4520,ECK1156,G0-10261,ymgF,ECK120015304"	"inner membrane protein that interacts with cell division proteins,YmgF,ECK120015308,YP_588447.1"	ECK120015304	ymgF	b4520	+	NA	ECK120015308	inner membrane protein YmgF	NA	1218983	1219201	0	YP_588447.1
b4491	ycgH	1219601	1222248	+	0	"b1169,b1170,b4491,ECK1157,G6609,ycgH,ECK120003204"	"b4491,ECK120007663"	ECK120003204	ycgH	b4491	+	Pseudo Gene	ECK120007663	"putative transporter component, N-terminal fragment"	NA	1219601	1222248	0	NA
b1171	ymgD	1222305	1222634	-	0	"b1171,ECK1158,G6611,ymgD,ECK120003206"	"YmgD,ECK120007665,NP_415689.2"	ECK120003206	ymgD	b1171	-	NA	ECK120007665	PF16456 family protein YmgD	NA	1222305	1222634	0	NP_415689.2
b1172	ymgG	1222644	1222988	-	0	"b1172,ECK1159,G6612,ymgG,ECK120003207"	"YmgG,ECK120007666,NP_415690.5"	ECK120003207	ymgG	b1172	-	NA	ECK120007666	PF13488 family protein YmgG	NA	1222644	1222988	0	NP_415690.5
b4593	ymgI	1222990	1223163	-	0	"b4593,ECK4403,G0-10589,ymgI,ECK120030073"	"YmgI,ECK120030100,YP_001165314.1"	ECK120030073	ymgI	b4593	-	NA	ECK120030100	uncharacterized protein YmgI	NA	1222990	1223163	0	YP_001165314.1
b4594	ymgJ	1223264	1223449	+	0	"b4594,ECK4404,G0-10590,ymgJ,ECK120030074"	"YmgJ,ECK120030101,YP_001165315.1"	ECK120030074	ymgJ	b4594	+	NA	ECK120030101	uncharacterized protein YmgJ	NA	1223264	1223449	0	YP_001165315.1
b4521	ycgI	1223564	1223907	+	0	"b1173,b4521,ECK1160,ECK1161,G0-10444,ymgH,ycgI,ECK120016296"	"b4521,ECK120016369"	ECK120016296	ycgI	b4521	+	Pseudo Gene	ECK120016369	protein YcgI	NA	1223564	1223907	0	NA
b1174	minE	1224279	1224545	-	0	"b1174,ECK1162,EG10598,minB,minE,ECK120000591"	"MinB,MinE,ECK120005067,NP_415692.1"	ECK120000591	minE	b1174	-	NA	ECK120005067	Z-ring positioning protein MinE	NA	1224279	1224545	0	NP_415692.1
b1175	minD	1224549	1225361	-	0	"b1175,ECK1163,EG10597,minB,minD,ECK120000590"	"MinB,MinD,ECK120005066,NP_415693.1"	ECK120000590	minD	b1175	-	NA	ECK120005066	Z-ring positioning protein MinD	NA	1224549	1225361	0	NP_415693.1
b1176	minC	1225385	1226080	-	0	"b1176,ECK1164,EG10596,minB,minC,ECK120000589"	"MinB,MinC,ECK120005065,NP_415694.1"	ECK120000589	minC	b1176	-	NA	ECK120005065	Z-ring positioning protein MinC	NA	1225385	1226080	0	NP_415694.1
b1177	ycgJ	1226600	1226968	+	0	"b1177,ECK1165,G6614,ycgJ,ECK120003209"	"YcgJ,ECK120007668,NP_415695.1"	ECK120003209	ycgJ	b1177	+	NA	ECK120007668	PF05666 family protein YcgJ	NA	1226600	1226968	0	NP_415695.1
b1178	pliG	1227071	1227472	-	0	"b1178,ECK1166,G6615,ycgK,pliG,ECK120003210"	"PliG,YcgK,ECK120007669,NP_415696.1"	ECK120003210	pliG	b1178	-	NA	ECK120007669	inhibitor of g-type lysozyme	NA	1227071	1227472	0	NP_415696.1
b1179	ycgL	1227681	1228007	+	0	"b1179,ECK1167,G6616,ycgL,ECK120003211"	"YcgL,ECK120007670,NP_415697.4"	ECK120003211	ycgL	b1179	+	NA	ECK120007670	PF05166 family protein YcgL	NA	1227681	1228007	0	NP_415697.4
b1180	ycgM	1228079	1228738	+	0	"b1180,ECK1168,G6617,ycgM,ECK120003212"	"YcgM,ECK120007671,NP_415698.1"	ECK120003212	ycgM	b1180	+	NA	ECK120007671	putative isomerase/hydrolase	NA	1228079	1228738	0	NP_415698.1
b1181	ycgN	1228815	1229276	+	0	"b1181,ECK1169,G6618,ycgN,ECK120003213"	"YcgN,ECK120007672,NP_415699.5"	ECK120003213	ycgN	b1181	+	NA	ECK120007672	PF03693 family protein YcgN	NA	1228815	1229276	0	NP_415699.5
b1182	hlyE	1229483	1230394	-	0	"b1182,clyA,ECK1170,G6619,hpr,sheA,ycgD,hlyE,ECK120003214"	"ClyA,HlyE,Hpr,SheA,YcgD,ECK120007673,NP_415700.4"	ECK120003214	hlyE	b1182	-	NA	ECK120007673	hemolysin E	NA	1229483	1230394	0	NP_415700.4
ECK120002609	C0299	1230629	1230707	+	0	"G0-8898,NA,C0299,ECK120002609"	"ECK120002609,NA"	ECK120002609	C0299	NA	+	Phantom Gene	NA	NA	NA	1230629	1230707	0	NA
b1183	umuD	1230767	1231186	+	0	"b1183,ECK1171,EG11057,umuD,ECK120001046"	"UmuD,ECK120005522,NP_415701.1"	ECK120001046	umuD	b1183	+	NA	ECK120005522	DNA polymerase V protein UmuD	NA	1230767	1231186	0	NP_415701.1
b1184	umuC	1231186	1232454	+	0	"b1184,ECK1172,EG11056,uvm,umuC,ECK120001045"	"UmuC,Uvm,ECK120005521,NP_415702.1"	ECK120001045	umuC	b1184	+	NA	ECK120005521	DNA polymerase V catalytic protein	NA	1231186	1232454	0	NP_415702.1
b1185	dsbB	1232500	1233030	-	0	"b1185,dsbX,ECK1173,EG11393,iarB,rosB,roxB,ycgA,dsbB,ECK120001360"	"DsbB,DsbX,IarB,quinone reductase DsbB,RosB,RoxB,YcgA,ECK120005836,NP_415703.3"	ECK120001360	dsbB	b1185	-	NA	ECK120005836	protein thiol:quinone oxidoreductase DsbB	NA	1232500	1233030	0	NP_415703.3
b1186	nhaB	1233176	1234717	-	0	"b1186,ECK1174,EG11392,nhaB,ECK120001359"	"NhaB,ECK120005835,NP_415704.1"	ECK120001359	nhaB	b1186	-	NA	ECK120005835	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB	NA	1233176	1234717	0	NP_415704.1
b1187	fadR	1234938	1235657	+	1	"b1187,dec,ECK1175,EG10281,ole,oleR,thdB,fadR,ECK120000275"	"Dec,FadR,Ole,OleR,ThdB,ECK120004751,NP_415705.1"	ECK120000275	fadR	b1187	+	NA	ECK120004751	DNA-binding transcriptional dual regulator FadR	NA	1234938	1235657	1	NP_415705.1
b1188	ycgB	1235709	1237241	-	0	"b1188,ECK1176,EG11516,ycgB,ECK120001471"	"YcgB,ECK120005947,NP_415706.1"	ECK120001471	ycgB	b1188	-	NA	ECK120005947	PF04293 family protein YcgB	NA	1235709	1237241	0	NP_415706.1
b1189	dadA	1237571	1238869	+	0	"b1189,dadR,ECK1177,EG11407,dadA,ECK120001373"	"DadA,DadR,ECK120005849,NP_415707.1"	ECK120001373	dadA	b1189	+	NA	ECK120005849	D-amino acid dehydrogenase	NA	1237571	1238869	0	NP_415707.1
b1190	dadX	1238879	1239949	+	0	"alnA,alnB,b1190,dadB,ECK1178,EG11408,dadX,ECK120001374"	"alanine racemase 2, PLP-binding,AlnA,AlnB,DadB,DadX,ECK120005850,NP_415708.1"	ECK120001374	dadX	b1190	+	NA	ECK120005850	alanine racemase 2	NA	1238879	1239949	0	NP_415708.1
b4740	ymgM	1240260	1240463	+	0	"b4740,ECK4597,G0-16735,ymgM,ECK125276509"	"YmgM,ECK125276543"	ECK125276509	ymgM	b4740	+	NA	ECK125276543	protein YmgM	NA	1240260	1240463	0	NA
b1191	cvrA	1240335	1242071	-	0	"b1191,ECK1179,G6620,ycgO,cvrA,ECK120003215"	"CvrA,YcgO,ECK120007674,NP_415709.2"	ECK120003215	cvrA	b1191	-	NA	ECK120007674	putative K<sup>+</sup>:H<sup>+</sup> antiporter	NA	1240335	1242071	0	NP_415709.2
b1192	ldcA	1242166	1243080	-	0	"b1192,ECK1180,G6621,ycgQ,ldcA,ECK120003216"	"LdcA,YcgQ,ECK120007675,NP_415710.1"	ECK120003216	ldcA	b1192	-	NA	ECK120007675	"murein L,D-carboxypeptidase"	NA	1242166	1243080	0	NP_415710.1
b1193	emtA	1243180	1243791	+	0	"b1193,ECK1181,G6622,mltE,sltZ,ycgP,emtA,ECK120003217"	"EmtA,MltE,SltZ,YcgP,ECK120007676,NP_415711.2"	ECK120003217	emtA	b1193	+	NA	ECK120007676	lytic murein transglycosylase E	NA	1243180	1243791	0	NP_415711.2
b1194	ycgR	1243793	1244527	-	0	"b1194,ECK1182,G6623,ycgR,ECK120003218"	"molecular brake that regulates flagellar motility in response to c-di-GMP,YcgR,ECK120007677,NP_415712.1"	ECK120003218	ycgR	b1194	-	NA	ECK120007677	flagellar brake protein YcgR	NA	1243793	1244527	0	NP_415712.1
b1195	ymgE	1244728	1244982	+	0	"b1195,ECK1183,G6624,tag,ymgE,ECK120003219"	"Tag,YmgE,ECK120007678,NP_415713.1"	ECK120003219	ymgE	b1195	+	NA	ECK120007678	PF04226 family protein YmgE	NA	1244728	1244982	0	NP_415713.1
b1196	ycgY	1245160	1245600	+	0	"b1196,ECK1184,G6625,ycgY,ECK120003220"	"YcgY,ECK120007679,NP_415714.1"	ECK120003220	ycgY	b1196	+	NA	ECK120007679	uncharacterized protein YcgY	NA	1245160	1245600	0	NP_415714.1
b1197	treA	1245679	1247376	-	0	"b1197,ECK1185,EG11017,osmA,tre,treA,ECK120001006"	"OsmA,Tre,TreA,ECK120005482,NP_415715.1"	ECK120001006	treA	b1197	-	NA	ECK120005482	periplasmic trehalase	NA	1245679	1247376	0	NP_415715.1
b1198	dhaM	1247696	1249114	-	0	"b1198,dhaH,ECK1186,EG12399,ptsD,ycgC,dhaM,ECK120002261"	"DhaH,DhaM,PtsD,YcgC,ECK120006736,NP_415716.4"	ECK120002261	dhaM	b1198	-	NA	ECK120006736	dihydroxyacetone kinase subunit M	NA	1247696	1249114	0	NP_415716.4
b1199	dhaL	1249125	1249757	-	0	"b1199,dhaK2,ECK1187,G6626,ycgS,ysgS,dhaL,ECK120003221"	"DhaL,YcgS,YsgS,ECK120007680,NP_415717.1"	ECK120003221	dhaL	b1199	-	NA	ECK120007680	dihydroxyacetone kinase subunit L	NA	1249125	1249757	0	NP_415717.1
b1200	dhaK	1249768	1250838	-	0	"b1200,dhaK1,ECK1188,G6627,ycgT,dhaK,ECK120003222"	"DhaK,YcgT,ECK120007681,NP_415718.6"	ECK120003222	dhaK	b1200	-	NA	ECK120007681	dihydroxyacetone kinase subunit K	NA	1249768	1250838	0	NP_415718.6
b1201	dhaR	1251066	1252985	+	1	"b1201,ECK1189,G6628,ycgU,dhaR,ECK120003223"	"DhaR,YcgU,ECK120007682,NP_415719.2"	ECK120003223	dhaR	b1201	+	NA	ECK120007682	DNA-binding transcriptional dual regulator DhaR	NA	1251066	1252985	1	NP_415719.2
b1202	ycgV	1253085	1255952	-	0	"b1202,ECK1190,G6629,ycgV,ECK120003224"	"YcgV,ECK120007683,NP_415720.1"	ECK120003224	ycgV	b1202	-	NA	ECK120007683	putative autotransporter adhesin YcgV	NA	1253085	1255952	0	NP_415720.1
b1203	ychF	1256721	1257812	-	0	"b1203,ECK1191,EG11404,gtp1,ychF,ECK120001370"	"ribosome-binding ATPase YchF,ribosome-binding ATPase, inhibitor of catalase activity,YchF,ECK120005846,NP_415721.1"	ECK120001370	ychF	b1203	-	NA	ECK120005846	redox-responsive ATPase YchF	NA	1256721	1257812	0	NP_415721.1
b1204	pth	1257929	1258513	-	0	"b1204,ECK1192,EG10785,rap,pth,ECK120000776"	"Pth,Rap,ECK120005252,NP_415722.1"	ECK120000776	pth	b1204	-	NA	ECK120005252	peptidyl-tRNA hydrolase	NA	1257929	1258513	0	NP_415722.1
b1205	ychH	1258791	1259069	+	0	"b1205,ECK1193,EG11533,ychH,ECK120001487"	"YchH,ECK120005963,NP_415723.1"	ECK120001487	ychH	b1205	+	NA	ECK120005963	stress-induced protein	NA	1258791	1259069	0	NP_415723.1
b1206	dauA	1259124	1260803	-	0	"b1206,ECK1194,EG12392,ychM,dauA,ECK120002255"	"DauA,YchM,ECK120006730,NP_415724.2"	ECK120002255	dauA	b1206	-	NA	ECK120006730	aerobic C4-dicarboxylate transporter DauA	NA	1259124	1260803	0	NP_415724.2
b1207	prs	1260928	1261875	-	0	"b1207,dnaR,ECK1195,EG10774,prsA,prs,ECK120000765"	"DnaR,Prs,PrsA,ECK120005241,NP_415725.1"	ECK120000765	prs	b1207	-	NA	ECK120005241	ribose-phosphate diphosphokinase	NA	1260928	1261875	0	NP_415725.1
b1208	ispE	1262026	1262877	-	0	"b1208,ECK1196,EG11294,ipk,ychB,ispE,ECK120001267"	"Ipk,IspE,YchB,ECK120005743,NP_415726.1"	ECK120001267	ispE	b1208	-	NA	ECK120005743	4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase	NA	1262026	1262877	0	NP_415726.1
b1209	lolB	1262877	1263500	-	0	"b1209,ECK1197,EG11293,hemM,ychC,lolB,ECK120001266"	"HemM,LolB,YchC,ECK120005742,NP_415727.1"	ECK120001266	lolB	b1209	-	NA	ECK120005742	outer membrane lipoprotein LolB	NA	1262877	1263500	0	NP_415727.1
